"src","trg","Label","explanation"
"Demikian surat undangan ini kami sampaikan, atas perhatian dan kehadirannya kami haturkan terimakasih.","Demikian surat undangan ini kami sampaikan, atas perhatian Saudara kami sampaikan terimakasih.","Semantik (diksi), Morfologi (kata majemuk)","Kesalahan semantik (Diksi) terletak pada kata ""dan kehadirannya"" menjadi ""Saudara"" agar sesuai dengan sapaan langsung, serta Morfologi (Kata Majemuk) karena ""terimakasih"" seharusnya ditulis terpisah sebagai ""terima kasih"", dan ""haturkan"" diganti dengan ""sampaikan"" untuk kesesuaian dengan kaidah bahasa baku."
"Kepala Desa Kawali","Kepala Desa Kawali,","EYD (tanda baca)","Penulisan keterangan jabatan seseorang yang masih mempunyai salah satu kesalahan, yaitu tidak diakhiri dengan tanda koma."
"Kepada: Yth. 1. Ketua MUI Desa 2. Ketua BPD beserta Anggota 3. Ketua DKM se-Dusun 4. Ketua RT se-Dusun 5. Ketua RW se-Dusun 6. Perwakilan Kader PKK tiap RT 7. Perwakilan Pemuda tiap RT 8. Tokoh Masyarakat Di Tempat","Yth. 1. Ketua MUI Desa 2. Ketua BPD Beserta Anggota 3. Ketua DKM Dusun Banjarwaru 4. Ketua RT Dusun Banjarwaru 5. Ketua RW Dusun Banjarwaru 6. Perwakilan Kader PKK tiap RT 7. Perwakilan Pemuda tiap RT 8. Tokoh Masyarakat di Tempat","Semantik (pleonasme), Fonologi (penggunaan huruf)","Redundansi terdapat pada kata ""Kepada"" karena sudah ada ""Yth."", sehingga tidak perlu ditambahkan. Kata ""beserta"" seharusnya diawali huruf kapital menjadi ""Beserta"". Penulisan ""se-Dusun"" lebih baik diganti dengan ""Dusun Banjarwaru"" untuk kejelasan. Selain itu, ""Di Tempat"" seharusnya ditulis ""di tempat"", karena ""di"" sebagai preposisi tidak memerlukan huruf kapital."
"Disampaikan dengan hormat, bersama ini saya mengundang Bapak/Ibu Saudara/i untuk hadir pada acara musyawarah Tingkat Dusun untuk guna pembentukan Panitia Peringatan Hari Besar Islam (PHBI) Maulid Nabi Besar Muhammad SAW tahun 1445 H di Dusun Banjarwaru, yang akan dilaksanakan pada:","Disampaikan dengan hormat, bersama ini kami mengundang Bapak/Ibu Saudara/i untuk hadir dalam acara musyawarah tingkat dusun untuk pembentukan Panitia Peringatan Hari Besar Islam (PHBI) Maulid Nabi Besar Muhammad SAW tahun 1445 H, di Dusun Banjarwaru, yang akan dilaksanakan pada:","Semantik (diksi), EYD (pengunaan huruf), EYD (tanda baca)","Kesalahan semantik (Diksi) karena kata ""saya"" sebaiknya diganti dengan ""kami"" agar lebih sesuai dengan tata cara penulisan resmi, ""guna"" diganti dengan ""untuk"" karena lebih tepat dalam menyatakan tujuan, serta ""pada"" diganti dengan ""dalam"" karena menunjuk pada suatu acara, bukan waktu atau tempat, dan juga termasuk EYD (Penggunaan Huruf Kapital) karena ""Tingkat Dusun"" seharusnya ditulis ""tingkat dusun"", serta EYD (Tanda Baca) karena setelah ""1445 H"" seharusnya diberi tanda koma (,) sebelum menyebutkan nama tempat."
"Tempat: Ruangan SDN2 Kawali Dusun Banjarwaru RT/RW 004/007 Desa Kawali","Tempat: Ruangan SDN 2 Kawali, Dusun Banjarwaru, RT/RW 004/007, Desa Kawali","Morfologi (pembentukan kata), EYD (tanda baca) ","Penulisan ""SDN2"" seharusnya dipisah menjadi ""SDN 2"" karena angka tidak termasuk dalam satu kesatuan singkatan, serta penggunaan tanda baca (,) yang kurang setelah kata ""Kawali"", ""Banjarwaru"", dan ""007"", sehingga perlu ditambahkan untuk memperjelas struktur alamat."
"Sehubungan pentingnya acara ini diharapkan untuk dapat hadir dan tidak mewakilkan tepat pada waktunya","Sehubungan pentingnya acara ini, besar harapan kami untuk dapat hadir dan tidak mewakilkan pada saat waktunya.","Sintaksis (kalimat) , EYD (tanda baca)","Kalimat tersebut kurang padu antara satu dengan yang lainnya. Selain itu, seharusnya tidak menggunakan cetak miring."
"Demikian undangan ini saya sampaikan atas perhatian dan kehadiran nya saya haturkan terima kasih.","Demikian undangan ini kami sampaikan, atas perhatian dan kehadirannya kami ucapkan terima kasih.","Semantik (diksi), EYD (tanda baca), Morfologi (afiksasi, kata majemuk))","Kesalahan ini termasuk Semantik karena saya seharusnya kami dan haturkan lebih tepat ucapkan. EYD (Tanda Baca) karena kurangnya koma setelah sampaikan. Morfologi (Morfem Terikat & Kata Majemuk) karena kehadiran nya harus kehadirannya dan terimakasih harus terima kasih."
"Kepada: Yth. 1) Warga RT 05/06 2) Pemuda Rw 06 Di Tempat","Yth. 1. Warga RT 05/06 2. Pemuda RW 06 di Tempat","Semantik (pleonasme), EYD (penulisan angka, tanda baca, huruf kapital)","Redundansi terdapat dalam kata kepada karena sudah ada Yth. Maka tidak perlu ditambah kepada. Penulisan angka seharusnya tidak diikuti tanda kurung. Redundansi terdapat pada 2) karena tidak ada kalimat lanjutan hanya angka saja. Penulisan huruf kapital yang tidak tepat pada kata Rw seharusnya ditulis kapital semua karena merupakan singkatan. Penulisan huruf kapital yang tidak tepat pada kata depan Di seharusnya ditulis biasa tidak kapital."
"Disampaikan dengan hormat, bersama ini kami mengundang Bapak/Ibu untuk hadir pada acara Musyawarah persiapan Peringatan Hari Besar Nasional (PHBN) HUT-RI ke-77 tahun 2022, yang akan dilaksanakan pada:","Disampaikan dengan hormat, bersama ini kami mengundang Bapak/Ibu untuk hadir dalam acara musyawarah persiapan Peringatan Hari Besar Nasional (PHBN) HUT-RI ke-77 tahun 2022, yang akan dilaksanakan pada:","Semantik (diksi), fonologi (penggunaan huruf)","Penggunaan kata pada seharusnya ditulis kata dalam karena pada menunjukan tempat dan waktu sedangkan dalam menunjukan sesuatu atau tempat yang memiliki ruang. Penggunaan huruf kapital yang kurang tepat dalam kata Musyawarah seharusnya ditulis kecil."
"Besar harapan kami Bapak/Ibu/Saudara/i untuk hadir pada acara dimaksud dan hadir tepat waktu.","Besar harapan kami Bapak/Ibu/Saudara/i untuk hadir pada acara yang dimaksud dengan tepat waktu.","Sintaksis (frasa), semantik (diksi, pleonasme)","Kalimatnya kurang padu seharusnya ditambah kata yang sebelum kata dimaksud. Penggunaan kata dan lebih tepat ditulis menggunakan dengan yang menunjukan adanya hubungan pada kalimat pertama dengan selanjutnya. Redundansi pada kata hadir karena sebelumnya sudah disebutkan."
"Demikian atas perhatian dan kehadirannya kami haturkan terimakasih.","Demikian atas perhatian dan kehadirannya kami sampaikan terima kasih.","Semantik (diksi), morfologi (penulisan kata), ","Kata haturkan seharusnya diganti dengan kata sampaikan sesuai dengan bahasa Indonesia yang baik dan benar. Penulisan terimakasih seharusnya ditulis terpisah bukan serangkai karena penulisan terimakasih adalah bentuk tidak baku."
"TV saya rusak, tolong lacak gambarnya.","TV saya rusak dan gambarnya kacau.","Semantik (diksi)","Kesalahan ini terjadi karena pengucapan ""random"" dan ""track"" mirip. Pengguna bahasa biasa memiliki kosa kata yang terbatas dan hanya dapat mengetahuinya dengan mendengarkan. Tentu saja, mereka tidak mengetahui arti dari kedua kata tersebut, yang mempengaruhi ketidakmampuan untuk menggunakannya dalam kalimat."
"kecelakaan semalam dia mengalami geger otak","kecelakaan semalam dia mengalami gegar otak","Semantik (diksi)","seharusnya kata “geger” pada kalimat tersebut diganti dengan kata “gegar” yang bermakna “guncang, goyang, gentar”. Sedangkan “geger” memiliki makna “riuh ramai tidak keruan, gempar, heboh, rebut”."
"“Waktu mulai kelas kamie kamie mengerti bahwa sudah tahu semua topik.”","“Waktu mulai kelas kami kami mengerti bahwa sudah tahu semua topik.”","Fonologi (penambahan fonem)","Penambahan fonem /e/"
"“Saya juga punya suami dari Indonesie ….”","“Saya juga punya suami dari Indonesia ….”","Fonologi (perubahan fonem)","Perubahan fonem vokal /a/"
"“Saya ada penggalaman belajar bahasa.”","“Saya ada pengalaman belajar bahasa.”","Fonologi (penambahan fonem)","Penambahan fonem konsonan /g/"
"“Namun, ada juga tradisi yang sanggat penting….”","“Namun, ada juga tradisi yang sangat penting….”","Fonologi (penambahan fonem)","Penambahan fonem konsonan /g/"
"“…yang merepsentasikan 12 macam….”","“…yang merepresentasikan 12 macam….”","Fonologi (perubahan fonem)","Pelafalan"
"“Ketike perayaan imlek kami pergi ibadah ke Klenten untuk ibadah….”","“Ketik perayaan imlek kami pergi ibadah ke Klenteng untuk ibadah….”","Fonologi (perubahan fonem)","Perubahan fonem vokal /a/ dan penghilangan fonem /g/"
"Karena biasanya di bulan Ramadhan mendekati Lebaran ini, tingkat kejahatan meningkat.","karena biasanya di bulan Ramadhan mendekati lebaran ini, tingkat kejahatan meningkat.","Morfologi (penulisan kata)","Seharusnya kata lebaran pada kata pertamanya ditulis dengan huruf kecil bukan besar karena kata lebaran tidak berada di awal kalimat."
"selain itu pastikan rumah dikunci ganda atau tambahan,” imbaunya.","selain itu pastikan rumah dikunci ganda atau tambahan”, imbaunnya.","Sintaksis (tanda baca), morfologi ( penulisan kata) ","saat tanda kutip digunakan maka tanda koma di akhir tanda kutip harus ditulis sesudah tanda kutip kemudian diikuti tanda koma."
"Kronologis kejadiannya, Terdakwa Helmi Senin 6 September 2021 sekira pukul 20:00 WIB diamankan di rumahnya RT 04, kelurahan Nikan Jaya.","Kronologis kejadiannya, Terdakwa Helmi Senin, 6 September 2021 sekira pukul 20:00 WIB diamankan di rumahnya RT 04, kelurahan Nikan Jaya.","Sintaksis (tanda baca)","seharusnya tanda koma diletakan pada kata senin agar lebish jelas."
"Karena pandemi covid-19, sidang diadakan dengan zoom meeting dan terdakwa berada Lapas Narkotika Kelas IIA Muara Beliti yang didampingi penasehat hukum dari Posbakum PN Lubuklinggau Febri Habibi Asril.","Karena, pandemi covid-19 sidang diadakan dengan zoom meeting dan terdakwa berada Lapas Narkotika Kelas IIA Muara Beliti yang didampingi penasehat hukum dari Posbakum PN Lubuklinggau Febri Habibi Asril.","Sintaksis (tanda baca), morfologi (penulisan kata), sintaksis (frasa)","Setelah kata karena seharusnya menggunakan tanda koma agar lebih jelas dalam kalimat penyebab dan juga setelah kata covid-19 tidak perlu lagi tanya koma, serta morfologi (penulisan COVID-19 dan penasihat yang tidak baku). "
"Seperti jual belia emas tapi penyerahan barang tidak saat waktu akad,baik salah satu barang atau keduanya.","Seperti jual beli emas tapi penyerahan barang tidak saat waktu akad, baik salah satu barang atau keduanya.","Fonologi (perubahan fonem), sintaksis (tanda baca), sintaksis (frasa)","Kesalahan dalam fonologi (perubahan fonem dari ""belia"" menjadi ""beli""), serta sintaksis (tanda baca dan frasa ""saat waktu"" yang tidak baku) "
"Si (A) ingin menukar uang seratu dengan uang sepuluh ribu dengan si (B)","Si (A) ingin menukar uang seratus dengan uang sepuluh ribu dengan si (B)","Fonologi (penghilangan fonem), sintaksis (ambiguitas)","Kesalahan dalam fonologi (penghilangan fonem ""s"" pada ""seratu"") dan sintaksis (struktur kalimat yang ambigu)"
"Maka kelebihan seperti Namanya riba, pembeli dan penjual berdosa.","Maka kelebihan seperti namanya riba, pembeli dan penjual berdosa.","EYD (penggunaan huruf)","Penggunaan huruf kapital pada ""Namanya"" yang seharusnya ""namanya"" karena huruf kapital hanya digunakan di awal kalimat atau untuk nama diri."
"Maka onkos yang dia terima termasuk kelebihan ongkos yang diberikan bukan riba baginya.","Maka ongkos yang dia terima termasuk kelebihan ongkos yang diberikan bukan riba baginya.","Fonologi (penggunaan huruf), sintaksis (tanda baca) ","Kesalahan fonologi ""onkos"" menjadi ""ongkos"" dan sintaksis kurangnya koma."
"Anggota Fraksi, Ibu anggota dewan dan Sekretaris Dewan (Sekwan) pada masanya, tapi DPRD ini periode 2004-2009.","Anggota fraksi, Ibu anggota dewan, dan Sekretaris Dewan (Sekwan) pada masa itu merupakan bagian dari DPRD periode 2004-2009.","fonologi (penggunaan huruf), morfologi (kata majemuk), sintaksis (konjungsi)","Kesalahan fonologi ""kapitalisasi"", morfologi ""kata majemuk"", dan sintaksis ""konjungsi yang tidak tepat""."
"Bangga dan bahagia kehadiran semuanya, semoga ini awal dari grup Beroyot 0409 untuk kedepannya bisa berlanjut dan bersilahturahmi.","Bangga dan bahagia atas kehadiran saudara sekalian, semoga ini menjadi awal untuk grup Beroyot 0409 kedepannya bisa terus bersilahturrahmi.","Sintaksis (preposisi), morfologi (penulisan kata)","Kesalahan sintaksis ""preposisi"", morfologi ""penulisan kata"", dan konjungsi."
"“kita siap mensukseskan program ini,” tegas kocik.","“kita siap mensukseskan program ini”, tegas kocik.","Morfologi (afiksasi), Sintaksis (tanda baca), Morfologi (penulisan huruf kapital)","Saat tanda kutip digunakan maka tanda koma di akhir tanda kutip harus ditulis sesudah tanda kutip kemudian diikuti tanda koma."
"Dalam menjalankan program programnya.","Dalam menjalankan program-programnya.","Morfologi (redupkalisasi)","seharusnya diberikan tanda penghubung jika ada terdapat pada kata pengulangan."
"“Saya tersenyum lebar dan mengecungkan jari telunjok.”","“Saya tersenyum lebar dan mengecungkan jari telunjuk.”","Fonologi (perubahan fonem)","Pelafalan dan perubahan fonem vokal /u/"
"“Disana saya mengunjung di banyak tempat ….”","“Disana saya mengunjungi di banyak tempat ….”","Morfologi (afiksasi)","""mengunjung di"" seharusnya ""mengunjungi"" kata kerja transitif tidak memerlukan preposisi ""di"""
"“Makanan itu memiliki makna kesejahtera hidup.”","“Makanan itu memiliki makna kesejahteraan hidup.”","Morfologi (pembentukan kata)","""kesejahtera"" seharusnya ""kesejahteraan"" karena menggunakan bentuk kata benda. "
"“… kata yang dengar mungkin sedikit sama tapi ada hal yang berbeda sekali ….”","“… kata yang mendengar mungkin sedikit sama tapi ada hal yang berbeda sekali ….”","Morfologi (afiksasi)","""yang dengar"" seharusnya ""yang terdengar"" untuk menunjukan keadaan. "
"“Bagaimana merasa Mba Nastasya senang atau .…”","“Bagaimana merasa Mba Nastasya senang atau .…”","Sintaksis (urutan kata), sintaksis (tanda baca) "," ""Bagaimana merasa"" seharusnya ""Bagaimana perasaan"" serta perlu koma sebelum pilihan jawaban dan tanda tanya di akhir. "
"“Apa yang kalian melakukan di sana?”","“Apa yang kalian lakukan di sana?”","Sintaksis (frasa)","""melakukan"" seharusnya ""lakukan"" karena mengikuti pola kalimat tanya dengan ""Apa yang ...""."
"“… kalau memakan disana?”","“… kalau makan disana?”","Morfologi (pembentukan kata)","Kata ""memakan"" adalah bentuk verba transitif (memerlukan objek), sementara dalam konteks ini yang dimaksud adalah ""makan"" sebagai verba intransitif (tidak memerlukan objek)"
"“Apa yang mba bisa merekomendasi?”","“Apa yang mba bisa rekomendasi?”","Morfologi (pembentukan kata), sintaksis (urutan kata)","Kata ""merekomendasi"" tidak baku, seharusnya ""merekomendasikan""."
"Bentuk """"rekomendasi"""" adalah nomina"," sehingga tidak tepat"," serta urutan kata kurang tepat. """,""
"“… lurus terus lewati cuci motor ….”","“… lurus terus melewati cuci motor ….”","Sintaksis (frasa)","Kata ""lewati"" adalah kata perintah, sedangkan yang dibutuhkan dalam kalimat ini adalah bentuk verba aktif ""melewati""."
"“Saya dari Rusia, saya tinggal di kota yang kecil sedikit mungkin.”","“Saya dari Rusia, saya tinggal di kota yang mungkin sedikit kecil.”","Semantik (urutan kata)","Urutan kalimat yang tidak tepat"
"“Tahun baru itu biasanya pesta yang penting di Rusia dan saya biasanya pada tahun ini saya merayakan dengan keluarga saya dirumah....”","“Tahun baru itu biasanya pesta yang penting di Rusia dan biasanya pada tahun ini merayakan dengan keluarga dirumah....”","Sintaksis (kalimat), semantik (pleonasme)","Susunan kalimat, penggandaan subjek dan penggunaan kata yang tidak perlu"
"“Saya tidak pergi ke mana-mana saya di rumah dengan ayah saya memasak banyak-banyak makanan dan menonton TV.”","“Saya tidak pergi ke mana-mana saya di rumah dengan ayah memasak banyak makanan dan menonton TV.”","Sintaksis (kalimat)","Susunan kalimat, penggandaan subjek, penjamakan ganda dan penghilangan konjungsi"
"“… saya sungguh-sungguh sekali dengan kerja.”","“… saya sungguh-sungguh dengan kerja.”","Semantik (pleonasme)","Kata ""sekali"" berlebihan karena ""sungguh-sungguh"" sudah menunjukkan makna intensitas."
"“Malam ini saya tidak pergi di mana-mana ….”","“Malam ini saya tidak pergi kemana-mana ….”","Sintaksis (preposisi)","Penggunaan preposisi ""di"" tidak tepat, harusnya ""ke"" karena menunjukkan arah."
"“Dia berpostur agak tinggi tapi langsing.”","“Dia berpostur agak tinggi dan langsing.”","Sintaksis (konjungsi)","Kata ""tapi"" menunjukkan pertentangan, padahal kedua sifat ini tidak bertentangan, sehingga lebih tepat menggunakan ""dan""."
"“… makanan yang paling enak sekali.”","“… makanan yang paling enak.”","Semantik (pleonasme)","Kata ""sekali"" berlebihan karena ""paling"" sudah menunjukkan tingkatan tertinggi."
"“Biasanya orang ke Rusia pakai kantor pos untuk mengirim surat ….”","“Biasanya ke Rusia pakai kantor pos untuk mengirim surat ….”","Sintaksis (frasa)","Kata ""orang"" tidak diperlukan karena subjek sudah bisa dipahami secara implisit."
"“… pertanyaan yang sulit untuk untuk membalas ….”","“… pertanyaan yang sulit untuk dijawab….”","Sintaksis (kalimat pasif)","Bentuk aktif ""untuk membalas"" tidak sesuai, harus diubah menjadi bentuk pasif ""untuk dijawab""."
"“… saya bisa tidur banyak jam.”","“… saya bisa tidur berjam-jam.”","Morfologi (redupkalikasi)","Bentuk ""banyak jam"" tidak lazim, lebih tepat menggunakan ""berjam-jam"" sebagai bentuk reduplikasi untuk menyatakan durasi."
"“Bajunya yang besar untuk dia ….”","“Bajunya terlalu besar untuknya ….”","Sintaksis (kongruensi)","""yang besar"" kurang tepat, lebih sesuai menggunakan ""terlalu besar"" untuk menunjukkan ketidaksesuaian ukuran. ""Dia"" juga harus diganti dengan bentuk yang sesuai, yaitu ""untuknya""."
"“… biasanya menari, bernyanyi, ada orang yang berdiskusi ….”","“… biasanya ada orang yang menari, bernyanyi, dan berdiskusi ….”","Sintaksis (kalimat)","Kalimat tidak memiliki struktur yang jelas, harus ada subjek ""ada orang yang"" sebelum menyebutkan aktivitas."
"“… warung lima kaki ….”","“… warung kaki lima ….”","Morfologi (kata majemuk)","Kata ""warung lima kaki"" salah urutan, frasa yang benar adalah ""warung kaki lima"" sesuai dengan istilah yang sudah baku."
"“… yaa ada salju sedikit saja yaitu salju sudah tua.”","“… yaa hanya ada sedikit salju yang sudah lama.”","Semantik (diksi)","""Salju sudah tua"" tidak lazim, lebih sesuai menggunakan ""salju yang sudah lama"" untuk menunjukkan kondisi salju yang tidak segar."
"Aku mau cerita kejadian di balik video ""Hello Daegu"".","Aku mau cerita kejadian dibalik video ""Hello Daegu"".","Sintaksis (preposisi)","kata ""di balik"", yang seharusnya dipisah karena di berfungsi sebagai preposisi, bukan sebagai awalan kata kerja."
"Iya, kalian nggak tau. Makanya aku kan mau kasih tau nih~","Iya, kalian enggak tahu. Makanya aku kan mau kasih tau nih~","Fonologi (penggunaan huruf)","Kata nggak diganti menjadi enggak sesuai ejaan baku. Kata tau diganti menjadi tahu agar sesuai dengan ejaan baku."
"Emang nggak bisa besok aja?","Emang enggak bisa besok aja?","Fonologi (penggunaan huruf)","Kata nggak diganti menjadi enggak sesuai dengan ejaan baku."
"Tau gak?","Tahu enggak?","Fonologi (penggunaan huruf)","Kata tau diganti menjadi tahu agar sesuai dengan ejaan baku, dan gak diganti dengan enggak."
"Atau takutnya keburu kemalaman dan keburu tutup.","takutnya keburu kemalaman dan keburu tutup.","Sintaksis (kalimat)","Kata atau tidak diperlukan karena tidak ada pilihan yang diberikan dalam kalimat."
"Dan aku gak bisa makan itu besok.","Aku enggak bisa makan itu besok.","Fonologi (penggunaan huruf), sintaksis (kalimat)","Kata gak diganti menjadi enggak agar sesuai dengan ejaan baku, dan kata dan di awal kalimat tidak diperlukan."
"Aku nulis gini sembari ngebayangin itu.","Aku nulis ini sembari membayangkan makanan itu","Semantik (diksi)","Kata gini diganti dengan ini agar lebih baku, ngebayangin diubah menjadi membayangkan, dan itu diperjelas menjadi makanan itu."
"Burung-burung beterbangan di sekitaran gunung.","Burung-burung beterbangan di sekitar gunung.","Morfologi (penulisan kata)","Kata sekitaran seharusnya ditulis sekitar karena sekitaran adalah bentuk tidak baku."
"buah-buahan dan lain lain sebagainya.","buah-buahan dan sebagainya.","Semantik (pleonasme)","Frasa dan lain-lain sebagainya berlebihan karena lain-lain dan sebagainya memiliki makna yang sama."
"banyak juga orang yang sedang bermain offroad dengan sepada motor trailnya.","banyak juga orang yang sedang bermain offroad dengan sepada motor trailnya.","Fonologi (penggunaan huruf) ","Kata sepada salah eja, seharusnya sepeda."
"ujung gunung tersebut.Burung-burung beterbangan di sekitaran gunung.","ujung gunung tersebut. Burung-burung beterbangan di sekitaran gunung.","Sintaksis (tanda baca)","Kurang spasi setelah titik. Kata sekitaran seharusnya ditulis sekitar."
"Hamparan savana rumput yang sangat hijau, banyak juga orang yang sedang berkuda.","Terdapat hamparan savana rumput, sehingga banyak orang yang menggunakannya untuk berkuda.","Sintaksis (kalimat)","Kalimat awal kurang padu. Perbaikannya menyesuaikan hubungan antara kedua klausa agar lebih jelas."
"Keindahan alam di Indonesia yang sangat mempesona membuat banyak wisatawan asing yang berkunjung walaupun jauh sekalipun.","Keindahan alam di Indonesia yang sangat memesona membuat banyak wisatawan asing yang berkunjung walaupun jauh sekalipun.","Fonologi (penggunaan huruf) ","Kata mempesona seharusnya ditulis memesona sesuai dengan ejaan baku."
"tentunya tidak dapat menandingi keindahan alam manapun","tentunya tidak dapat menandingi keindahan alam mana pun","Morfologi (kata majemuk) ","Kata manapun harus dipisah menjadi mana pun karena bukan kata yang ditulis serangkai.   Kata sekalipun seharusnya ditulis sekali pun sesuai kaidah bahasa Indonesia."
"wisatawan asing yang berkunjung walaupun jauh sekalipun","wisatawan asing yang berkunjung walau pun jauh sekali pun.","Morfologi (kata majemuk)",""
"Tentunya alam Indonesia menjadi yang tersohor di mata dunia.","Tentunya alam Indonesia menjadi tersohor di mata dunia.","Sintaksis (kalimat)","Frasa menjadi yang tersohor kurang efektif, lebih baik ditulis menjadi tersohor."
